33 Taps,,"3 - 7pm
$5 33T beers / $7 wells / $8 cocktails / $9 food apps","3 - 7pm
$5 33T beers / $7 wells / $8 cocktails / $9 food apps / TACO TUES all day $8 margs + $9 three tacos","3 - 7pm
$5 33T beers / $7 wells / $8 cocktails / $9 food apps","3 - 7pm
$5 33T beers / $7 wells / $8 cocktails / $9 food apps","3 - 7pm
$5 33T beers / $7 wells / $8 cocktails / $9 food apps","9:30pm - close
$5 33T beers / $7 wells / $8 cocktails / $9 food apps","9:30pm - close
$5 33T beers / $7 wells / $8 cocktails / $9 food apps",SPORTS WATCHIN',
,,,,,,,,,,
HOLLYWOOD,,,,,,,,,,
Desert 5,,,,"6 - 8pm /
$6 beer & wine; $12 cocktails; $10 for two tacos","6 - 8pm /
$6 beer & wine; $12 cocktails; $10 for two tacos","6 - 8pm /
$6 beer & wine; $12 cocktails; $10 for two tacos",,,,
Electric Owl,,N/A,N/A,"2 - 5pm; 10 - 11pm
$10 cocktails / 
~$10 apps","2 - 5pm; 10 - 11pm
$10 cocktails / 
~$10 apps","2 - 5pm; 11 - 12am
$10 cocktails / 
~$10 apps","2 - 5pm; 11 - 12am
$10 cocktails / 
~$10 apps","2 - 5pm; 10 - 11pm
$10 cocktails / 
~$10 apps",SPORTS WATCHIN',N
Good Times at Davey Wayne's,,"4 - 6pm /
$10 cocktails; $8 wines; $5-7 cans","4 - 6pm /
$10 cocktails; $8 wines; $5-7 cans","4 - 6pm /
$10 cocktails; $8 wines; $5-7 cans","4 - 6pm /
$10 cocktails; $8 wines; $5-7 cans","4 - 6pm /
$10 cocktails; $8 wines; $5-7 cans","4 - 6pm /
$10 cocktails; $8 wines; $5-7 cans","4 - 6pm /
$10 cocktails; $8 wines; $5-7 cans",DANCING,
Jay's Bar,,"4 - 7pm / 
$5 wells /
$7 select drafts","4 - 7pm / 
$5 wells /
$7 select drafts","4 - 7pm / 
$5 wells /
$7 select drafts","4 - 7pm / 
$5 wells /
$7 select drafts","4 - 7pm / 
$5 wells /
$7 select drafts",,,,
Mother Tongue,,,,"4 - 6pm /
$10 cocktails & wine; $5 beers; $4 - 8 bar bites","4 - 6pm /
$10 cocktails & wine; $5 beers; $4 - 8 bar bites","4 - 6pm /
$10 cocktails & wine; $5 beers; $4 - 8 bar bites","4 - 6pm /
$10 cocktails & wine; $5 beers; $4 - 8 bar bites","4 - 6pm /
$10 cocktails & wine; $5 beers; $4 - 8 bar bites",,
Power House,,"4 - 7pm / 
$7 wells /
$9 Marg & Old Fashioned","4 - 7pm / 
$7 wells /
$9 Marg & Old Fashioned","4 - 7pm / 
$7 wells /
$9 Marg & Old Fashioned","4 - 7pm / 
$7 wells /
$9 Marg & Old Fashioned","4 - 7pm / 
$7 wells /
$9 Marg & Old Fashioned","4 - 7pm / 
$7 wells /
$9 Marg & Old Fashioned","4 - 7pm / 
$7 wells /
$9 Marg & Old Fashioned",,
Sunset Vinyl,,"7 - 8pm /
$5 wells","7 - 8pm /
$5 wells","7 - 8pm /
$5 wells","7 - 8pm /
$5 wells","7 - 8pm /
$5 wells","7 - 8pm /
$5 wells","7 - 8pm /
$5 wells",QUEUEING RECORDS,
The Well,,5 - 8pm,"5-8pm / 
Trivia",5 - 8pm,5 - 8pm,5 - 8pm,,,JUKEBOX,
,,,,,,,,,,
MID-CITY / WEST ADAMS / KOREATOWN,,,,,,,,,,
All Seasons Brewing,,3pm-7pm / Beer & Shot Specials,3pm-7pm / Beer & Shot Specials,3pm-7pm / Beer & Shot Specials,3pm-7pm / Beer & Shot Specials,3pm-7pm / Beer & Shot Specials,,,SKEE-BALL,
Breakroom 86,,,"9pm-10pm
BUY ONE GET ONE FREE DRINKS!","9pm-10pm
BUY ONE GET ONE FREE DRINKS!","9pm-10pm
BUY ONE GET ONE FREE DRINKS!",,,,,
Delicious Pizza,,4 - 6pm; 50% off whole pizzas + draft and wine deals ,4 - 6pm; 50% off whole pizzas + draft and wine deals ,4 - 6pm; 50% off whole pizzas + draft and wine deals ,4 - 6pm; 50% off whole pizzas + draft and wine deals ,N/A,N/A,N/A,,
Escala,,"4 - 7pm; 11 - 1am
$7 Beer; $7 wines & wells; 
$7 old fashioneds; 
select food ","4 - 7pm; 11 - 1am
$7 Beer; $7 wines & wells; 
$7 old fashioneds; 
select food ","4 - 7pm; 11 - 1am
$7 Beer; $7 wines & wells; 
$7 old fashioneds; 
select food ","4 - 7pm; 11 - 1am
$7 Beer; $7 wines & wells; 
$7 old fashioneds; 
select food ","4 - 7pm
$7 Beer; $7 wines & wells; 
$7 old fashioneds; 
select food ","4 - 7pm
$7 Beer; $7 wines & wells; 
$7 old fashioneds; 
select food ","4 - 7pm; 11 - 1am
$7 Beer; $7 wines & wells; 
$7 old fashioneds; 
select food ",,
Founders Ale House,,"12 - 7pm / 
$5 HH food
 $12 cocktails & 
$6 beer","12 - 7pm / 
$5 HH food
 $12 cocktails & 
$6 beer","12 - 7pm / 
$5 HH food
 $12 cocktails & 
$6 beer","12 - 7pm / 
$5 HH food
 $12 cocktails & 
$6 beer","12 - 7pm / 
$5 HH food
 $12 cocktails & 
$6 beer","12 - 7pm / 
$5 HH food
 $12 cocktails & 
$6 beer","12 - 7pm / 
$5 HH food
 $12 cocktails & 
$6 beer","SPORTS WATCHIN'; 
NFL BLITZ",
Frank 'n Hanks,,"6pm-8pm
$4 PBR Tall Boys","6pm-8pm
$4 PBR Tall Boys","6pm-8pm
$4 PBR Tall Boys","6pm-8pm
$4 PBR Tall Boys","6pm-8pm
$4 PBR Tall Boys","6pm-8pm
$4 PBR Tall Boys","6pm-8pm
$4 PBR Tall Boys",POOL TABLE,Y
The Bar at Johnny's,,,,,,,,,,
Little Bar,,"2 - 8pm / 
$7 Wells, Beer & Wine","2 - 8pm / 
$7 Wells, Beer & Wine","2 - 8pm / 
$7 Wells, Beer & Wine","2 - 8pm / 
$7 Wells, Beer & Wine","2 - 8pm / 
$7 Wells, Beer & Wine","2 - 8pm / 
$7 Wells, Beer & Wine","2 - 8pm / 
$7 Wells, Beer & Wine",,
Lobby Bar @ The Line,,"3pm-7pm
$8 well/beer/wine","3pm-7pm
$8 well/beer/wine","3pm-7pm
$8 well/beer/wine","3pm-7pm
$8 well/beer/wine","3pm-7pm
$8 well/beer/wine","3pm-7pm
$8 well/beer/wine","3pm-7pm
$8 well/beer/wine",,
The Normandie Club,,"6 - 8pm
$12 House Cocktails; $7 Bartender’s Choice","6 - 8pm
$12 House Cocktails; $7 Bartender’s Choice","6 - 8pm
$12 House Cocktails; $7 Bartender’s Choice","6 - 8pm
$12 House Cocktails; $7 Bartender’s Choice","6 - 8pm
$12 House Cocktails; $7 Bartender’s Choice","6 - 8pm
$12 House Cocktails; $7 Bartender’s Choice","6 - 8pm
$12 House Cocktails; $7 Bartender’s Choice",,
,,,,,,,,,,
DTLA,,,,,,,,,,
Arts District Brewing Co,,"3 - 7pm / 
$5 select beers / 
FREE SKEEBALL","3 - 7pm / 
$5 select beers / $7 wells","3 - 7pm / 
$5 select beers / $7 wells","3 - 7pm / 
$5 select beers / $7 wells","3 - 7pm / 
$5 select beers / $7 wells",N/A,N/A,"Skeeball (free all Mon); 
SPORTS WATCHIN'",
Beelman's Pub,,"4 - 7pm / 
$11 Cocktails; $8 wine; $6 beer; Select Food & Apps","4 - 7pm / 
$11 Cocktails; $8 wine; $6 beer; Select Food & Apps","4 - 7pm / 
$11 Cocktails; $8 wine; $6 beer; Select Food & Apps","4 - 7pm / 
$11 Cocktails; $8 wine; $6 beer; Select Food & Apps","4 - 7pm / 
$11 Cocktails; $8 wine; $6 beer; Select Food & Apps",N/A,N/A,,
Broken Shaker,,"3 - 6pm / 
$14 Cocktails; $10 wine; $6 beer; Select Food & Apps","3 - 6pm / 
$14 Cocktails; $10 wine; $6 beer; Select Food & Apps","3 - 6pm / 
$14 Cocktails; $10 wine; $6 beer; Select Food & Apps","3 - 6pm / 
$14 Cocktails; $10 wine; $6 beer; Select Food & Apps",N/A,N/A,N/A,VIEWS,
Everson Royce Bar,,,"4 - 6pm / 
$11 cocktails; $6-7 beers / 
$8 wine /
$10ish food","4 - 6pm / 
$11 cocktails; $6-7 beers / 
$8 wine /
$10ish food","4 - 6pm / 
$11 cocktails; $6-7 beers / 
$8 wine /
$10ish food","4 - 6pm / 
$11 cocktails; $6-7 beers / 
$8 wine /
$10ish food","2 - 6pm / 
$11 cocktails; $6-7 beers / 
$8 wine /
$10ish food","2 - 6pm / 
$11 cocktails; $6-7 beers / 
$8 wine /
$10ish food",OUTDOOR PATIO,
Far Bar,,"3 - 7pm / 
$11 Cocktails; Select Food & Apps","3 - 7pm / 
$11 Cocktails; Select Food & Apps","3 - 7pm / 
$11 Cocktails; Select Food & Apps","3 - 7pm / 
$11 Cocktails; Select Food & Apps","3 - 7pm / 
$11 Cocktails; Select Food & Apps",N/A,N/A,SPORTS WATCHIN',
Golden Gopher,,"3 - 8pm / 
$9 Cocktails; $6 wells; $5 beer","3 - 8pm / 
$9 Cocktails; $6 wells; $5 beer","3 - 8pm / 
$9 Cocktails; $6 wells; $5 beer","3 - 8pm / 
$9 Cocktails; $6 wells; $5 beer","3 - 8pm / 
$9 Cocktails; $6 wells; $5 beer","3 - 8pm / 
$9 Cocktails; $6 wells; $5 beer","3 - 8pm / 
$9 Cocktails; $6 wells; $5 beer","POOL TABLE; 
OUTDOOR PATIO",
Joey DTLA,,"3 - 6pm / 
$4 off drinks and dishes","3 - 6pm / 
$4 off drinks and dishes","3 - 6pm / 
$4 off drinks and dishes","3 - 6pm / 
$4 off drinks and dishes","3 - 6pm / 
$4 off drinks and dishes","3 - 6pm / 
$4 off drinks and dishes","3 - 6pm / 
$4 off drinks and dishes",OUTDOOR PATIO,
Perch,,"4 - 6pm / 
$9 Cocktails; $7 wine; $5 beer; Select Food & Apps","4 - 6pm / 
$9 Cocktails; $7 wine; $5 beer; Select Food & Apps","4 - 6pm / 
$9 Cocktails; $7 wine; $5 beer; Select Food & Apps","4 - 6pm / 
$9 Cocktails; $7 wine; $5 beer; Select Food & Apps","4 - 6pm / 
$9 Cocktails; $7 wine; $5 beer; Select Food & Apps",N/A,N/A,VIEWS,
33 Taps,,"3 - 7pm
$5 33T beers / $7 wells / $8 cocktails / $9 food apps","3 - 7pm
$5 33T beers / $7 wells / $8 cocktails / $9 food apps / TACO TUES all day $8 margs + $9 three tacos","3 - 7pm
$5 33T beers / $7 wells / $8 cocktails / $9 food apps","3 - 7pm
$5 33T beers / $7 wells / $8 cocktails / $9 food apps","3 - 7pm
$5 33T beers / $7 wells / $8 cocktails / $9 food apps","9:30pm - close
$5 33T beers / $7 wells / $8 cocktails / $9 food apps","9:30pm - close
$5 33T beers / $7 wells / $8 cocktails / $9 food apps",SPORTS WATCHIN',
,,,,,,,,,,
CULVER / WEST LA,,,,,,,,,,
Bigfoot West,,"5 - 8pm /
 $6 cocktails & draft beer","5 - 8pm /
 $6 cocktails & 
draft beer
Trivia 9pm","5 - 8pm /
 $6 cocktails & draft beer","5 - 8pm /
 $6 cocktails & draft beer","5 - 8pm /
 $6 cocktails & draft beer","5 - 8pm /
 $6 cocktails & draft beer","5 - 8pm /
 $6 cocktails & draft beer",,
Maple Block Meat Co.,,"5 - 6:30pm
$5 House Cocktails; $5 Beer; $6 Wine; $8 Wings","5 - 6:30pm
$5 House Cocktails; $5 Beer; $6 Wine; $8 Wings","5 - 6:30pm
$5 House Cocktails; $5 Beer; $6 Wine; $8 Wings","5 - 6:30pm
$5 House Cocktails; $5 Beer; $6 Wine; $8 Wings",N/A,N/A,N/A,,
Nickel Mine,,"5 - 8pm / 
$6 drinks","5 - 8pm / 
$6 drinks","5 - 8pm / 
$6 drinks","5 - 8pm / 
$6 drinks","5 - 8pm / 
$6 drinks",N/A,"4 - 8pm / 
$6 drinks",TABLE GAMES; SPORTS-WATCHIN',
Oldfield's Liquor Room,,"5 - 7pm /
 $10 cocktails, 
$9 wine, 
$6 draft beer","5 - 7pm /
 $10 cocktails, 
$9 wine, 
$6 draft beer","5 - 7pm /
 $10 cocktails, 
$9 wine, 
$6 draft beer
Jazz Trio","5 - 7pm /
 $10 cocktails, 
$9 wine, 
$6 draft beer
Jazz Trio","5 - 7pm /
 $10 cocktails, 
$9 wine, 
$6 draft beer","5 - 7pm /
 $10 cocktails, 
$9 wine, 
$6 draft beer","5 - 7pm /
 $10 cocktails, 
$9 wine, 
$6 draft beer",LIVE MUSIC,
Q's Billiards,,"4 - 7pm / 
$2 off beers + wells; Select food specials","4 - 7pm / 
$2 off beers + wells; Select food specials","4 - 7pm / 
$2 off beers + wells; Select food specials","4 - 7pm / 
$2 off beers + wells; Select food specials","4 - 7pm / 
$2 off beers + wells; Select food specials",,,"POOL TABLE; 
OUTDOOR PATIO; SPORTS WATCHIN'",
33 Taps,,"3 - 7pm
$5 33T beers / $7 wells / $8 cocktails / $9 food apps","3 - 7pm
$5 33T beers / $7 wells / $8 cocktails / $9 food apps / TACO TUES all day $8 margs + $9 three tacos","3 - 7pm
$5 33T beers / $7 wells / $8 cocktails / $9 food apps","3 - 7pm
$5 33T beers / $7 wells / $8 cocktails / $9 food apps","3 - 7pm
$5 33T beers / $7 wells / $8 cocktails / $9 food apps","9:30pm - close
$5 33T beers / $7 wells / $8 cocktails / $9 food apps","9:30pm - close
$5 33T beers / $7 wells / $8 cocktails / $9 food apps",SPORTS WATCHIN',
,,,,,,,,,,
SANTA MONICA / VENICE,,,,,,,,,,
Cabo Cantina,,"4 - 8pm / 10:30p - 12:30a /
 2-for-1 HH drinks","4 - 8pm / 10:30p - 12:30a /
 2-for-1 HH drinks","4 - 8pm / 10:30p - 12:30a /
 2-for-1 HH drinks","4 - 8pm / 10:30p - 12:30a /
 2-for-1 HH drinks","4 - 8pm / 10:30p - 12:30a /
 2-for-1 HH drinks","4 - 8pm / 10:30p - 12:30a /
 2-for-1 HH drinks","4 - 8pm / 10:30p - 12:30a /
 2-for-1 HH drinks",,
The Craftsman,,"7-8pm
$8 wells, wine & cocktails /
$10 Moscow Mules 8pm-2am",ALL NIGHT!,"7-8pm
$8 wells, wine & cocktails","7-8pm
$8 wells, wine & cocktails","5-8pm
$8 wells, wine & cocktails","5-8pm
$8 wells, wine & cocktails","7-8pm
$8 wells, wine & cocktails",SHUFFLEBOARD,Y (by our youth)
Duke's Malibu,,"4- 9pm
$5 Draft Beer; $7 Wine; $2 Off All Appetizers, $4 Off Select Entrees","4- 6pm
$5 Draft Beer; $7 Wine; $2 Off All Appetizers, $4 Off Select Entrees; TACO TUESDAY","4- 6pm
$5 Draft Beer; $7 Wine; $2 Off All Appetizers, $4 Off Select Entrees","4- 6pm
$5 Draft Beer; $7 Wine; $2 Off All Appetizers, $4 Off Select Entrees","4- 6pm
$5 Draft Beer; $7 Wine; $2 Off All Appetizers, $4 Off Select Entrees",N/A,N/A,,
Gin Rummy,,"4- 6pm
$10 daiquiris; $8 wines; $5 beer; $8 - 10 bar bites","4- 6pm
$10 daiquiris; $8 wines; $5 beer; $8 - 10 bar bites","4- 6pm
$10 daiquiris; $8 wines; $5 beer; $8 - 10 bar bites","4- 6pm
$10 daiquiris; $8 wines; $5 beer; $8 - 10 bar bites","4- 6pm
$10 daiquiris; $8 wines; $5 beer; $8 - 10 bar bites","4- 6pm
$10 daiquiris; $8 wines; $5 beer; $8 - 10 bar bites","4- 6pm
$10 daiquiris; $8 wines; $5 beer; $8 - 10 bar bites",,
The Misfit,,"12pm-7pm
50% off cocktails, spirits & wines","12pm-7pm
50% off cocktails, spirits & wines","12pm-7pm
50% off cocktails, spirits & wines","12pm-7pm
50% off cocktails, spirits & wines","12pm-7pm
50% off cocktails, spirits & wines","12pm-7pm
50% off cocktails, spirits & wines","12pm-7pm
50% off cocktails, spirits & wines",,Y 
The Santa Monica Whaler,,3pm-6pm / Patio HH: 12pm-3pm,3pm-6pm / Patio HH: 12pm-3pm,3pm-6pm / Patio HH: 12pm-3pm,3pm-6pm / Patio HH: 12pm-3pm,N/A,N/A,N/A,DANCING,Y (by Makai)
The Waterfront Venice,,N/A,N/A,"3-7pm
BUY ONE, GET ONE FREE","3-7pm
BUY ONE, GET ONE FREE","3-7pm
BUY ONE, GET ONE FREE",N/A,N/A,,N
